Company=GREAT BEAR PETROLEUM
Well=GB_ALCOR_#1
Field=WILDCAT
County=NORTH SLOPE
State=ALASKA
Country=NORTH SLOPE
Dip Summary From 4550.80 to 4575.80 Metres
Dip Confidence :
   E=Excellent(dip quality=1), G=Good(dip quality=2)
F=Fair(dip quality=3), P=Poor(dip quality=4 or 5)
Depth,Class,True Mag,True Azi,Quality,Caliper,Conf,DipType,Gamma Ray,Devi,Hazi
4577.2300,BED,    1.16,   10.40,2,8.70,G,Bed Boundary,44.42,0.52,125.36
4577.4688,BED,    1.22,    6.80,2,8.71,G,Bed Boundary,50.06,0.52,125.41
4577.7290,BED,    1.16,    6.80,2,8.73,G,Bed Boundary,53.43,0.52,125.53
4578.0000,BED,    1.16,    5.00,2,8.74,G,Bed Boundary,53.19,0.52,125.70
4579.3774,BED,    2.32,   30.20,1,8.71,E,Sedimentary Dips,66.64,0.52,125.79
4579.7139,BED,    2.38,   33.80,1,8.71,E,Sedimentary Dips,77.75,0.52,126.02
4580.6465,BED,    1.16,   33.80,1,8.75,E,Sedimentary Dips,83.85,0.52,126.76
4581.3730,BED,    2.31,   57.20,1,8.80,E,Sedimentary Dips,77.73,0.52,126.92
4581.7095,BED,    3.46,  237.20,1,8.80,E,Sedimentary Dips,73.09,0.52,126.98
4581.9590,BED,    2.31,  237.20,1,8.80,E,Sedimentary Dips,70.12,0.52,127.00
4582.5010,BED,    2.37,  249.80,1,8.72,E,Sedimentary Dips,64.18,0.52,127.17
4583.5317,BED,    4.72,   75.20,1,8.62,E,Soft Sediment Deformation,60.06,0.52,127.63
4583.7808,BED,    3.51,  350.60,1,8.62,E,Soft Sediment Deformation,60.26,0.52,127.80
4583.9868,BED,    3.50,  343.40,1,8.65,E,Soft Sediment Deformation,60.12,0.52,127.89
4584.3882,BED,    3.54,  183.20,1,8.71,E,Soft Sediment Deformation,63.62,0.52,127.90
4585.3643,BED,    3.46,   39.20,1,8.78,E,Soft Sediment Deformation,82.82,0.52,127.92
4585.7983,BED,    2.31,   39.20,1,8.79,E,Soft Sediment Deformation,85.42,0.52,127.98
4586.3296,BED,    4.63,   77.00,1,8.74,E,Soft Sediment Deformation,76.47,0.52,128.30
4586.5791,BED,    4.69,   77.00,1,8.71,E,Soft Sediment Deformation,70.96,0.52,128.43
4586.7637,BED,    3.54,   73.40,1,8.70,E,Soft Sediment Deformation,67.11,0.52,128.47
4586.9478,BED,    2.32,   51.80,1,8.70,E,Soft Sediment Deformation,67.01,0.52,128.48
4587.1973,BED,    5.84,  314.60,1,8.72,E,Soft Sediment Deformation,66.83,0.52,128.57
4587.3818,BED,    1.16,  222.80,1,8.71,E,Soft Sediment Deformation,67.19,0.52,128.76
4587.8374,BED,    3.53,  105.80,1,8.74,E,Sedimentary Dips,71.44,0.51,128.94
4588.0000,BED,    4.68,  104.00,1,8.75,E,Sedimentary Dips,72.21,0.51,128.99
4588.2388,BED,    4.67,   82.40,1,8.78,E,Sedimentary Dips,73.75,0.51,129.04
4588.4448,BED,    1.16,   60.80,1,8.77,E,Sedimentary Dips,74.41,0.51,129.06
4588.6289,BED,    1.16,   21.20,1,8.76,E,Sedimentary Dips,73.88,0.51,129.06
4588.9980,BED,    2.32,  262.40,1,8.75,E,Sedimentary Dips,73.28,0.51,128.97
4589.2583,BED,    5.83,  140.00,1,8.74,E,Soft Sediment Deformation,69.16,0.51,128.99
4589.6162,BED,    3.54,  318.20,1,8.71,E,Soft Sediment Deformation,63.95,0.51,129.13
4589.8545,BED,    4.64,  307.40,1,8.70,E,Soft Sediment Deformation,62.15,0.51,129.27
4590.2344,BED,    9.31,  289.40,1,8.73,E,Soft Sediment Deformation,65.17,0.51,129.46
4591.2866,BED,    4.63,  257.00,1,8.73,E,Soft Sediment Deformation,95.70,0.51,129.63
4591.4600,BED,    2.32,  255.20,1,8.74,E,Soft Sediment Deformation,100.06,0.51,129.63
4591.7852,BED,    2.32,   77.00,1,8.74,E,Soft Sediment Deformation,98.71,0.51,129.58
4592.3062,BED,    3.47,  197.60,1,8.76,E,Soft Sediment Deformation,91.01,0.51,129.74
4592.8481,BED,    1.15,  239.00,1,8.79,E,Soft Sediment Deformation,91.57,0.51,129.81
4593.1626,BED,    1.21,  244.40,1,8.76,E,Soft Sediment Deformation,95.64,0.51,129.83
4594.0522,BED,    4.68,  195.80,1,8.74,E,Soft Sediment Deformation,103.65,0.51,129.65
4594.8003,BED,    3.47,   37.40,1,8.76,E,Soft Sediment Deformation,84.82,0.51,129.91
4594.9634,BED,    5.83,   44.60,1,8.75,E,Soft Sediment Deformation,78.31,0.51,129.99
4595.2236,BED,    7.03,   44.60,1,8.73,E,Soft Sediment Deformation,67.80,0.51,129.98
4595.4404,BED,    2.32,   46.40,1,8.71,E,Soft Sediment Deformation,59.68,0.51,129.93
4595.6250,BED,    2.38,  113.00,1,8.70,E,Soft Sediment Deformation,51.86,0.51,129.87
4595.8091,BED,    1.16,   98.60,1,8.68,E,Soft Sediment Deformation,44.29,0.51,129.80
4596.0801,BED,    2.32,   98.60,1,8.70,E,Soft Sediment Deformation,38.54,0.51,129.70
4596.4814,BED,    1.16,   53.60,1,8.73,E,Bed Boundary,33.34,0.51,129.57
4596.7852,BED,    1.16,   53.60,1,8.71,E,Bed Boundary,32.41,0.51,129.63
4598.0869,BED,    2.38,   39.20,3,8.67,F,Bed Boundary,43.05,0.50,130.46
4598.4014,BED,    2.33,   42.80,3,8.69,F,Bed Boundary,46.61,0.50,130.79
4599.0347,BED,    2.32,   62.60,1,8.70,E,Soft Sediment Deformation,41.62,0.50,131.11
4599.2949,BED,    2.32,   48.20,1,8.70,E,Soft Sediment Deformation,37.11,0.50,131.35
4599.4902,BED,    5.85,   59.00,1,8.70,E,Soft Sediment Deformation,34.71,0.50,131.53
4599.6963,BED,    4.69,   55.40,1,8.73,E,Soft Sediment Deformation,32.06,0.50,131.57
4600.1582,BED,    3.48,   50.00,1,8.72,E,Bed Boundary,28.42,0.50,131.45
4600.4619,BED,    1.16,   33.80,1,8.71,E,Bed Boundary,28.16,0.50,131.52
4601.0259,BED,    2.33,   33.80,1,8.69,E,Bed Boundary,42.36,0.50,131.76
4603.6074,BED,    2.31,   35.60,1,8.77,E,Bed Boundary,72.80,0.48,132.90
4604.2798,BED,    5.82,   95.00,1,8.75,E,Soft Sediment Deformation,78.38,0.48,133.32
4604.5400,BED,    5.83,   93.20,1,8.75,E,Soft Sediment Deformation,77.95,0.48,133.55
4606.8330,BED,   33.31,  186.80,1,8.68,E,Soft Sediment Deformation,73.23,0.48,134.96
4606.9087,BED,    9.35,  318.20,1,8.66,E,Soft Sediment Deformation,73.78,0.48,135.00
4608.3799,BED,    2.37,   32.00,1,8.73,E,Bed Boundary,76.95,0.47,135.58
4608.6836,BED,    1.21,   33.80,1,8.73,E,Bed Boundary,75.92,0.47,135.76
4609.0630,BED,    3.54,   41.00,1,8.70,E,Bed Boundary,71.06,0.47,135.98
4609.3447,BED,    4.65,   44.60,1,8.67,E,Bed Boundary,70.04,0.47,136.18
4609.7573,BED,    2.38,   46.40,1,8.69,E,Bed Boundary,70.40,0.47,136.25
4610.1475,BED,    1.16,   26.60,1,8.68,E,Bed Boundary,70.90,0.47,136.42
4610.7441,BED,    1.16,   30.20,1,8.76,E,Bed Boundary,70.24,0.46,136.84
4611.0259,BED,    1.21,  246.20,1,8.74,E,Soft Sediment Deformation,70.56,0.46,136.88
4611.3081,BED,    2.32,  242.60,1,8.72,E,Soft Sediment Deformation,71.67,0.46,137.14
4611.4492,BED,    2.32,  240.80,1,8.72,E,Soft Sediment Deformation,72.27,0.46,137.36
4611.6333,BED,    5.85,  240.80,1,8.71,E,Soft Sediment Deformation,73.72,0.46,137.54
4611.9155,BED,    3.49,  222.80,1,8.69,E,Soft Sediment Deformation,76.93,0.46,137.64
4612.3491,BED,    1.16,   46.40,1,8.69,E,Soft Sediment Deformation,81.62,0.46,137.77
4612.9243,BED,    3.54,   33.80,1,8.69,E,Soft Sediment Deformation,82.17,0.46,138.17
4613.4771,BED,    2.37,  199.40,1,8.72,E,Soft Sediment Deformation,77.89,0.46,138.28
4613.7700,BED,    1.16,   19.40,1,8.73,E,Soft Sediment Deformation,80.37,0.46,138.32
4617.8740,FRAC,   32.97,  305.60,1,8.75,E,Natural Fracture,87.52,0.46,139.64
4621.3774,BED,    2.32,  204.80,1,8.73,E,Bed Boundary,79.03,0.46,139.93
4621.7744,BED,    3.54,  235.40,2,8.71,G,Bed Boundary,77.62,0.46,139.87
