~Version Information
VERS.           2.00                                        : CWLS Log ASCII Standard - Version 2.00
WRAP.           NO                                          : One line per depth step
#
~Well Information
#MNEM.UNIT     DATA                               : DESCRIPTION
#----.----     ---------                          : -----------------
STRT.FT         5293                                        : Start
STOP.FT         -4                                          : Stop
STEP.FT         -0.5                                        : Step increment
NULL.           -999.250                                    : Null value
COMP.           NEW RIVER ENERGY CO.                        : Company
WELL.           NREC #16                                    : Well
FLD.            CROOK DISTRICT                              : Field
PROV.           BOONE                                       : Province / County
CTRY.           USA / WEST VIRGINIA                         : State / Country
LOC.            LATITUDE 6,453' SOUTH OF 38?00'00"          : Location
LOC2.           LONGITUDE 7,466' WEST OF 81?45'00"          : Location 2
UWI.                                                        : Unique Well ID
API.            47-005-01935                                : API number
SRVC.           Allegheny Wireline                          : Service company
LIC.            01935                                       : Licence number
DATE.           18-Dec-2004                                 : Logging date
#
~Curve Information
#MNEM.UNIT     API CODES                          : CURVE DESCRIPTION
#----.----     ---------                          : -----------------
DEPT.FT         00 001 00 00                                : Logged depth
BIT.IN          70 282 00 00                                : Bit size
RILD.OHMM       7 120 46 00                                 : Deep Induction
RILM.OHMM       7 120 44 00                                 : Medium Induction
IHTD.DF/S       7 660 11 00                                 : Differential Temperature
IHTF.DEGF       7 660 0 00                                  : Borehole Temperature
AVOL.F3         70 0 0 00                                   : Annular Volume
HVOL.F3         70 0 0 00                                   : Hole Volume
MTXD.G/C3       94 0 0 00                                   : Matrix density
DPOR.PERC       45 890 13 00                                : Density Porosity
PDPE.B/E        45 358 1 00                                 : PE
DEN.G/C3        42 350 1 00                                 : Compensated Density
DCOR.G/C3       42 356 1 00                                 : Density Correction
CLDC.IN         45 280 1 00                                 : Density Caliper
NPRL.PERC       42 890 1 00                                 : Limestone Neutron Por.
GRGC.GAPI       30 310 1 00                                 : Gamma Ray
SMTU.LB         30 635 0 00                                 : DST Uphole Tension
GDLO.----       68 545 0 00                                 : Lower Gas Detector
GDUP.----       68 545 0 00                                 : Upper Gas Detector
#
~Parameter Information
#MNEM.UNIT     VALUE                              : DESCRIPTION
#----.----     ---------                          : -----------------
EREF.FEET       1118.00                                     : Elevation of depth reference
DREF.           D.F. 10FT.                                  : Depth reference
GL.FEET         1107.00                                     : Ground elevation
RUN.            ON                                          : Run number
TDD.FEET        5275.000                                    : TD (driller)
TDL.FEET        5292.000                                    : TD (logger)
CSGD.FEET       2240.000                                    : Casing bottom (driller)
CSGL.FEET       2240.000                                    : Casing bottom (logger)
BS.INCHES       6.50                                        : Bit size
MUD.            NONE                                        : Mud type
MUDD.G/C3                                                   : Mud density
MUDV.CP                                                     : Mud viscosity
PH.                                                         : Mud pH
FL.ML/30MIN                                                 : Mud fluid loss rate
MUDS.                                                       : Mud sample source
TMAX.DEGF       124.00                                      : Max recorder temperature
TIMC.DAY/HR                                                 : Time circulation ended
TIML.DAY/HR                                                 : Time logger at bottom
UNIT.           277                                         : Equipment ID
BASE.           DUNBAR                                      : Equipment base location
ENG.            KURT NUNLEY                                 : Recording engineer
WIT.            MR.WHITE                                    : Witnessed by
CSGS.MM         250.825                                     : Casing size
CSGW.KG/M       0.00                                        : Casing weight
#
~Other Information
--------------------------------------------------------------------------------
MATRIX DENSITY 2.68 G/CC FROM TD. TO 2425
2.71 2425 TO CASING
THANK YOU FOR USING ALLEGHENY WIRELINE SERVICES
--------------------------------------------------------------------------------
#1
#1 DEPT          BIT              RILD             RILM             IHTD             IHTF             AVOL             HVOL             MTXD             DPOR             PDPE             DEN              DCOR             CLDC             NPRL             GRGC             SMTU             GDLO             GDUP             
~A 
5275             6.50000          252.91316        392.06007        0.01073          123.27532        0.00100          0.00200          2.68000          3.49043          3.60649          2.62122          0.08208          6.54313          -999.25          -999.25          1297.18772       -999.25          -999.25          
5274.5           6.50000          264.83851        415.90407        0.01000          123.29159        0.00100          0.00200          2.68000          4.16470          3.33426          2.60965          0.08554          6.53945          -999.25          -999.25          1301.23240       -999.25          -999.25          
5274             6.50000          276.22318        451.02840        0.01000          123.30832        0.00100          0.00200          2.68000          4.29650          3.25353          2.60762          0.08673          6.46932          -999.25          -999.25          1296.85138       -999.25          -999.25          
5273.5           6.50000          282.64045        474.22380        0.01000          123.32459        0.00100          0.00200          2.68000          3.83634          3.43141          2.61551          0.08465          6.41259          -999.25          -999.25          1296.69144       -999.25          -999.25          
5273             6.50000          283.40862        482.77918        0.00973          123.34078        0.00100          0.00200          2.68000          2.99599          3.68633          2.62986          0.07992          6.43904          28.78052         -999.25          1285.94143       -999.25          -999.25          
5272.5           6.50000          281.82193        480.82617        0.00900          123.35451        0.00100          0.00200          2.68000          2.04693          3.81889          2.64570          0.07592          6.47943          25.83207         -999.25          1300.74214       -999.25          -999.25          
5272             6.50000          276.67586        457.91788        0.00900          123.36751        0.00100          0.00200          2.68000          1.50664          3.84398          2.65435          0.07246          6.47979          18.98339         -999.25          1286.22883       -999.25          -999.25          
5271.5           6.50000          271.38750        441.84996        0.00900          123.38024        0.00100          0.00200          2.68000          1.35744          3.91204          2.65719          0.07127          6.46111          10.73965         -999.25          1277.18344       -999.25          -999.25          
5271             6.50000          270.75661        436.05279        0.00873          123.39197        0.00100          0.00200          2.68000          1.66012          3.90194          2.65203          0.07173          6.46302          4.04202          -999.25          1296.31546       -999.25          -999.25          
5270.5           6.50000          273.40962        448.41070        0.00800          123.40378        0.00100          0.00200          2.68000          2.39793          3.72367          2.63968          0.07019          6.48254          1.03435          -999.25          1294.60716       -999.25          -999.25          
5270             6.50000          280.63135        480.08755        0.00800          123.41751        0.00100          0.00200          2.68000          3.31643          3.58247          2.62422          0.06719          6.47806          0.73142          -999.25          1299.94646       -999.25          -999.25          
5269.5           6.50000          287.43951        515.01489        0.00800          123.43024        0.00100          0.00200          2.68000          4.01473          3.57830          2.61238          0.06500          6.44850          0.68822          -999.25          1316.41102       -999.25          -999.25          
5269             6.50000          290.45415        537.71510        0.00800          123.44224        0.00100          0.00200          2.68000          4.19206          3.65939          2.60989          0.06608          6.40768          0.68232          -999.25          1287.08809       -999.25          -999.25          
5268.5           6.50000          289.40160        536.39613        0.00800          123.45424        0.00100          0.00200          2.68000          3.67016          3.69209          2.61851          0.07062          6.41436          0.70669          -999.25          1295.15244       -999.25          -999.25          
5268             6.50000          283.66494        507.66700        0.00800          123.46597        0.00100          0.00200          2.68000          2.79473          3.69068          2.63313          0.07608          6.47912          0.75126          -999.25          1306.13694       -999.25          -999.25          
5267.5           6.50000          273.86420        464.28746        0.00773          123.47697        0.00100          0.00200          2.68000          1.73234          3.81329          2.65132          0.07927          6.51433          0.78035          -999.25          1287.33090       21.97843         -999.25          
5267             6.50000          265.88448        427.99680        0.00700          123.48824        0.00100          0.00200          2.68000          0.97765          4.02679          2.66381          0.07838          6.49819          0.78157          -999.25          1294.80834       22.04855         -999.25          
5266.5           6.50000          261.05441        411.99843        0.00700          123.50024        0.00100          0.00200          2.68000          0.95382          4.14412          2.66384          0.07184          6.50545          0.77878          -999.25          1281.36615       21.99519         -999.25          
5266             6.50000          264.39882        418.74755        0.00700          123.51197        0.00100          0.00200          2.68000          1.52161          4.06286          2.65422          0.06384          6.53586          0.79359          -999.25          1266.90164       21.92594         -999.25          
5265.5           6.50000          272.76240        447.35864        0.00700          123.52297        0.00100          0.00200          2.68000          2.36245          3.85683          2.64022          0.05638          6.53469          0.80006          -999.25          1306.65538       21.96684         -999.25          
5265             6.50000          283.08530        482.70619        0.00700          123.53370        0.00100          0.00200          2.68000          3.06596          3.60581          2.62838          0.05200          6.48142          0.76780          -999.25          1301.90016       22.03265         45.35109         
5264.5           6.50000          292.10985        520.65631        0.00700          123.54370        0.00100          0.00200          2.68000          3.30380          3.45741          2.62427          0.05227          6.44416          0.70888          -999.25          1286.03992       22.00929         67.36032         
5264             6.50000          298.89745        547.74950        0.00700          123.55343        0.00100          0.00200          2.68000          3.06614          3.49063          2.62824          0.05408          6.45999          0.66395          -999.25          1299.94329       21.96518         85.11718         
5263.5           6.50000          304.87983        565.88991        0.00700          123.56270        0.00100          0.00200          2.68000          2.30143          3.70202          2.64105          0.05754          6.49402          0.65651          -999.25          1285.44169       21.95652         85.20112         
5263             6.50000          307.62598        574.53023        0.00700          123.57297        0.00100          0.00200          2.68000          1.34320          3.98131          2.65713          0.05954          6.51435          0.67275          -999.25          1273.95097       21.93269         83.30599         
5262.5           6.50000          304.11304        562.97781        0.00700          123.58370        0.00100          0.00200          2.68000          0.20050          4.11541          2.67640          0.06154          6.52448          0.70180          -999.25          1316.12447       22.14108         80.96006         
5262             6.50000          299.88633        556.28703        0.00700          123.59397        0.00100          0.00200          2.68000          -0.80532         4.21083          2.69370          0.06354          6.55226          0.74585          -999.25          1294.59554       22.17434         77.15065         
5261.5           6.50000          296.16623        551.06835        0.00700          123.60524        0.00100          0.00200          2.68000          -1.26904         4.34010          2.70127          0.06608          6.58270          0.79707          -999.25          1278.09873       22.07520         74.75373         
5261             6.50000          296.99366        559.81019        0.00700          123.61697        0.00100          0.00200          2.68000          -1.08776         4.39585          2.69822          0.06981          6.57812          0.83024          19.06631         1299.59868       22.05636         75.30008         
5260.5           6.50000          297.09719        560.05767        0.00700          123.62770        0.00100          0.00200          2.68000          -0.03654         4.17066          2.68044          0.07254          6.53790          0.84035          18.41276         1291.54170       21.89564         76.03375         
5260             6.50000          297.39925        558.86404        0.00700          123.63797        0.00100          0.00200          2.68000          1.72194          3.74891          2.65136          0.07427          6.51708          0.84751          17.12948         1278.28244       21.99109         77.98032         
5259.5           6.50000          297.85735        542.67315        0.00700          123.64897        0.00100          0.00200          2.68000          3.47870          3.43969          2.62179          0.07581          6.51379          0.85646          15.91106         1299.57487       22.19005         81.09143         
5259             6.50000          301.19996        534.73114        0.00700          123.65970        0.00100          0.00200          2.68000          4.50736          3.34852          2.60392          0.07854          6.48323          0.84177          15.75437         1281.58600       22.18642         85.72673         
5258.5           6.50000          307.65225        530.99896        0.00700          123.66943        0.00100          0.00200          2.68000          4.42301          3.45989          2.60559          0.08108          6.44222          0.78440          16.70957         1276.67975       22.11217         90.12604         
5258             6.50000          313.76841        544.79534        0.00700          123.67897        0.00100          0.00200          2.68000          3.24831          3.72764          2.62502          0.08427          6.44469          0.71115          18.53760         1281.25689       22.11655         87.34441         
5257.5           6.50000          313.00651        560.02092        0.00700          123.68997        0.00100          0.00200          2.68000          1.71913          4.20419          2.65075          0.08446          6.49304          0.67370          22.51123         1260.32763       22.42944         82.58308         
5257             6.50000          302.10115        548.57462        0.00700          123.70070        0.00100          0.00200          2.68000          0.36665          4.73396          2.67359          0.08165          6.53046          0.69126          28.38804         1261.92805       22.48426         82.00575         
5256.5           6.50000          288.69077        523.55625        0.00700          123.71097        0.00100          0.00200          2.68000          -0.37294         4.97693          2.68627          0.07530          6.52252          0.73385          34.75665         1282.14130       22.34700         82.76460         
5256             6.50000          266.52227        456.88635        0.00700          123.72170        0.00100          0.00200          2.68000          -0.27668         4.90083          2.68511          0.06611          6.50365          0.82557          43.36378         1274.52128       22.47572         83.00953         
5255.5           6.50000          237.09912        362.01860        0.00700          123.73197        0.00100          0.00200          2.68000          0.22815          4.73307          2.67649          0.06100          6.50270          1.11080          57.66131         1267.22385       22.33855         82.91337         
5255             6.50000          205.63115        284.44624        0.00700          123.74270        0.00100          0.00200          2.68000          1.09708          4.59351          2.66160          0.06208          6.51054          1.79228          83.51406         1255.55441       22.05701         83.65749         
5254.5           6.50000          184.78924        237.78529        0.00700          123.75270        0.00100          0.00200          2.68000          2.42285          4.48572          2.63944          0.06770          6.50282          3.03988          124.72751        1249.39884       21.96807         82.44567         
5254             6.50000          180.92970        230.61504        0.00700          123.76297        0.00100          0.00200          2.68000          4.15804          4.31335          2.61009          0.07797          6.46990          4.83950          175.01721        1275.62513       21.96668         82.57371         
5253.5           6.50000          189.52462        249.53798        0.00700          123.77451        0.00100          0.00200          2.68000          6.12597          4.11376          2.57682          0.08789          6.44584          6.67232          216.39717        1274.79318       21.87768         85.91271         
5253             6.50000          207.01817        294.73482        0.00700          123.78697        0.00100          0.00200          2.68000          7.99009          3.90122          2.54552          0.09435          6.44054          7.98744          234.63903        1256.00578       21.91136         85.50369         
5252.5           6.50000          224.59149        351.41832        0.00700          123.79797        0.00100          0.00200          2.68000          9.20302          3.72259          2.52557          0.09854          6.44335          8.54317          228.72184        1268.84461       22.00133         83.62221         
5252             6.50000          239.92101        401.98589        0.00700          123.80897        0.00100          0.00200          2.68000          9.51302          3.64958          2.52035          0.10135          6.44997          8.42318          202.86160        1247.40816       21.97213         82.28594         
5251.5           6.50000          253.87523        438.47036        0.00700          123.81970        0.00100          0.00200          2.68000          9.19852          3.61897          2.52589          0.10581          6.46367          8.01020          170.22445        1234.02652       22.20382         79.75600         
5251             6.50000          266.19746        452.91007        0.00700          123.82943        0.00100          0.00200          2.68000          8.80692          3.63888          2.53235          0.10827          6.47630          7.46885          138.43018        1258.74447       22.34805         77.74912         
5250.5           6.50000          275.77327        461.05863        0.00700          123.83816        0.00100          0.00200          2.68000          8.49347          3.68234          2.53735          0.10846          6.47413          6.94572          116.12731        1254.25615       22.17709         77.20229         
5250             6.50000          279.59186        473.94022        0.00700          123.84670        0.00100          0.00200          2.68000          8.16905          3.72407          2.54235          0.10592          6.49502          6.51088          106.90362        1235.89512       22.08513         77.40475         
