Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
HAWK,8.458333333335759,22.0,0.00358333333312476,11.9999999993015,132.999999992258,,100,1516,1516,142.988943,Tubing Pressure,5466.27945856385
HAWK,8.5,22.0,0.00379166666644596,11.9999999993015,134.999999992142,,100,1513,1513,142.988943,Tubing Pressure,5480.84656895536
HAWK,8.541666666664241,22.0,0.00358333333375049,12.000000001397,132.000000015367,,100,1510,1510,142.988943,Tubing Pressure,5451.74093497074
HAWK,8.583333333335759,22.0,0.00349999999979627,11.9999999993015,133.9999999922,,100,1507,1507,142.988943,Tubing Pressure,5465.48183928868
HAWK,8.625,22.0,0.00337499999980355,11.9999999993015,130.999999992375,,100,1505,1505,142.988943,Tubing Pressure,5437.7930981808
HAWK,8.666666666664241,22.0,0.00366666666709352,11.0000000012806,128.000000014901,,100,1503,1503,142.988943,Tubing Pressure,5418.20287002198
HAWK,8.708333333335759,22.0,0.00337499999980355,12.9999999992433,129.999999992433,,100,1501,1501,142.988943,Tubing Pressure,5428.92537753794
HAWK,8.75,22.0,0.00320833333314658,12.9999999992433,121.999999992899,,100,1496,1496,142.988943,Tubing Pressure,5357.51729192619
HAWK,8.791666666664241,22.0,0.00308333333369228,12.000000001397,118.000000013737,,100,1494,1494,142.988943,Tubing Pressure,5320.79511590649
HAWK,8.833333333335759,22.0,0.00320833333314658,12.9999999992433,126.999999992608,,100,1496,1496,142.988943,Tubing Pressure,5398.68342904109
HAWK,8.875,22.0,0.00316666666648234,11.9999999993015,124.999999992724,,100,1491,1491,142.988943,Tubing Pressure,5373.8580929944
HAWK,8.916666666664241,22.0,0.00316666666703532,14.0000000016298,127.000000014785,,100,1488,1488,142.988943,Tubing Pressure,5394.11238977589
HAWK,8.958333333335759,22.0,0.00333333333313931,13.9999999991851,123.999999992782,,100,1485,1485,142.988943,Tubing Pressure,5365.96476701528
HAWK,9.0,22.0,0.00349999999979627,12.9999999992433,127.999999992549,,100,1484,1484,142.988943,Tubing Pressure,5394.89264896731
HAWK,9.041666666664241,22.0,0.00366666666709352,14.0000000016298,129.000000015018,,100,1483,1483,142.988943,Tubing Pressure,5405.99031259749
HAWK,9.083333333335759,22.0,0.00345833333313203,13.9999999991851,132.999999992258,,100,1481,1481,142.988943,Tubing Pressure,5438.32821995063
HAWK,9.125,22.0,0.00408333333309565,12.9999999992433,125.999999992666,,100,1480,1480,142.988943,Tubing Pressure,5375.20286517717
HAWK,9.166666666664241,22.0,0.0040833333338087,13.0000000015134,127.000000014785,,100,1479,1479,142.988943,Tubing Pressure,5382.51443066699
HAWK,9.208333333335759,22.0,0.00429166666641686,13.9999999991851,123.999999992782,,100,1475,1475,142.988943,Tubing Pressure,5356.65153533687
HAWK,9.25,22.0,0.00437499999974534,11.9999999993015,128.999999992491,,100,1472,1472,142.988943,Tubing Pressure,5426.33886431549
HAWK,9.291666666664241,22.0,0.00437500000050932,13.0000000015134,122.000000014203,,100,1470,1470,142.988943,Tubing Pressure,5344.58181767261
HAWK,9.333333333335759,22.0,0.00437499999974534,14.9999999991269,123.999999992782,,100,1469,1469,142.988943,Tubing Pressure,5353.53859309224
HAWK,9.375,22.0,0.00458333333306655,14.9999999991269,119.999999993015,,100,1464,1464,142.988943,Tubing Pressure,5315.53551004857
HAWK,9.416666666664241,22.0,0.00466666666720994,15.0000000017462,120.00000001397,,100,1460,1460,142.988943,Tubing Pressure,5311.6530689539
HAWK,9.458333333335759,22.0,0.00449999999973807,15.9999999990687,117.999999993131,,100,1460,1460,142.988943,Tubing Pressure,5297.33996711305
HAWK,9.5,22.0,0.00466666666639503,14.9999999991269,118.999999993073,,100,1458,1458,142.988943,Tubing Pressure,5301.3828005157
HAWK,9.541666666664241,22.0,0.00466666666720994,16.0000000018626,117.000000013621,,100,1456,1456,142.988943,Tubing Pressure,5285.29291115148
HAWK,9.583333333335759,22.0,0.00479166666638775,15.9999999990687,118.999999993073,,100,1453,1453,142.988943,Tubing Pressure,5299.03861426868
HAWK,9.625,22.0,0.00495833333304472,15.9999999990687,118.999999993073,,100,1453,1453,142.988943,Tubing Pressure,5299.35794221779
HAWK,9.666666666664241,22.0,0.00437500000050932,17.0000000019791,115.000000013388,,100,1452,1452,142.988943,Tubing Pressure,5267.27285550576
HAWK,9.708333333335759,22.0,0.00495833333304472,16.9999999990105,117.999999993131,,100,1450,1450,142.988943,Tubing Pressure,5290.59548099157
HAWK,9.75,22.0,0.00491666666638048,17.9999999989523,121.999999992899,,100,1449,1449,142.988943,Tubing Pressure,5326.61794722
HAWK,9.791666666664241,22.0,0.00508333333392511,17.0000000019791,113.000000013155,,100,1448,1448,142.988943,Tubing Pressure,5247.3336602355
HAWK,9.833333333335759,22.0,0.00499999999970896,16.9999999990105,111.999999993481,,100,1445,1445,142.988943,Tubing Pressure,5235.9728826508
HAWK,9.875,22.0,0.00495833333304472,16.9999999990105,109.999999993597,,100,1443,1443,142.988943,Tubing Pressure,5217.61964335711
HAWK,9.916666666664241,22.0,0.0052916666672827,16.0000000018626,114.000000013271,,100,1441,1441,142.988943,Tubing Pressure,5254.1339376023
HAWK,9.958333333335759,22.0,0.00516666666636593,17.9999999989523,108.999999993655,,100,1440,1440,142.988943,Tubing Pressure,5208.7735836346
HAWK,10.0,22.0,0.00520833333303017,16.9999999990105,111.999999993481,,100,1438,1438,142.988943,Tubing Pressure,5229.23643691791
HAWK,10.041666666664241,22.0,0.00537500000062573,18.0000000020955,104.000000012107,,100,1437,1437,142.988943,Tubing Pressure,5165.63121664626
HAWK,10.083333333335759,22.0,0.00508333333303744,16.9999999990105,105.99999999383,,100,1435,1435,142.988943,Tubing Pressure,5177.58815061695
HAWK,10.125,22.0,0.00587499999965803,19.9999999988358,111.999999993481,,100,1429,1429,142.988943,Tubing Pressure,5228.29945375482
HAWK,10.166666666664241,22.0,0.00550000000064028,21.0000000024447,116.000000013504,,100,1427,1427,142.988943,Tubing Pressure,5263.40304125068
HAWK,10.208333333335759,22.0,0.00549999999967986,20.9999999987776,111.999999993481,,100,1425,1425,142.988943,Tubing Pressure,5226.93488201536
HAWK,10.25,22.0,0.00549999999967986,19.9999999988358,107.999999993714,,100,1424,1424,142.988943,Tubing Pressure,5189.23191560227
HAWK,10.291666666664241,22.0,0.00566666666732635,20.0000000023283,110.000000012806,,100,1420,1420,142.988943,Tubing Pressure,5202.04483402664
HAWK,10.333333333335759,22.0,0.00579166666632955,18.9999999988941,112.999999993423,,100,1418,1418,142.988943,Tubing Pressure,5222.86312150003
HAWK,10.375,22.0,0.00566666666633682,19.9999999988358,113.999999993364,,100,1414,1414,142.988943,Tubing Pressure,5229.77103515947
HAWK,10.416666666664241,22.0,0.00608333333404153,20.0000000023283,112.000000013039,,100,1412,1412,142.988943,Tubing Pressure,5211.3921598111
HAWK,10.458333333335759,22.0,0.00566666666633682,19.9999999988358,112.999999993423,,100,1411,1411,142.988943,Tubing Pressure,5218.22774790217
HAWK,10.5,22.0,0.00599999999965075,19.9999999988358,113.999999993364,,100,1410,1410,142.988943,Tubing Pressure,5226.21370690016
HAWK,10.541666666664241,22.0,0.00616666666738456,21.0000000024447,112.000000013039,,100,1408,1408,142.988943,Tubing Pressure,5210.1618162146
HAWK,10.583333333335759,22.0,0.00608333333297924,20.9999999987776,110.999999993539,,100,1407,1407,142.988943,Tubing Pressure,5200.50258217501
HAWK,10.625,22.0,0.00587499999965803,18.9999999988941,105.99999999383,,100,1405,1405,142.988943,Tubing Pressure,5151.85223550437
HAWK,10.666666666664241,22.0,0.00600000000069849,20.0000000023283,110.000000012806,,100,1404,1404,142.988943,Tubing Pressure,5186.30303334354
HAWK,10.708333333335759,22.0,0.00583333333299379,19.9999999988358,116.99999999319,,100,1400,1400,142.988943,Tubing Pressure,5241.53409629777
HAWK,10.75,24.0,0.00679166666627134,21.9999999987194,142.999999991676,,100,1321,1321,142.988943,Tubing Pressure,5410.79156511795
HAWK,10.791666666664241,24.0,0.00712500000082946,25.0000000029104,147.000000017113,,100,1310,1310,142.988943,Tubing Pressure,5457.70737258832
HAWK,10.833333333335759,24.0,0.00741666666623496,25.9999999984866,140.999999991793,,100,1294,1294,142.988943,Tubing Pressure,5387.45568880413
HAWK,10.875,24.0,0.00708333333292103,23.999999998603,149.999999991269,,100,1293,1293,142.988943,Tubing Pressure,5464.74081404598
HAWK,10.916666666664241,24.0,0.00733333333418705,25.0000000029104,144.000000016764,,100,1290,1290,142.988943,Tubing Pressure,5407.44074308744
HAWK,10.958333333335759,24.0,0.00687499999959982,25.9999999984866,138.999999991909,,100,1287,1287,142.988943,Tubing Pressure,5360.07756340649
HAWK,11.0,24.0,0.00749999999956344,24.9999999985448,142.999999991676,,100,1285,1285,142.988943,Tubing Pressure,5392.640769531
HAWK,11.041666666664241,24.0,0.00783333333424525,25.0000000029104,140.000000016298,,100,1283,1283,142.988943,Tubing Pressure,5361.33180654744
HAWK,11.083333333335759,24.0,0.00741666666623496,25.9999999984866,141.999999991735,,100,1280,1280,142.988943,Tubing Pressure,5383.31046662923
HAWK,11.125,24.0,0.00749999999956344,26.9999999984284,145.999999991502,,100,1279,1279,142.988943,Tubing Pressure,5429.35943565901
HAWK,11.166666666664241,24.0,0.00741666666753008,27.0000000031432,142.000000016531,,100,1277,1277,142.988943,Tubing Pressure,5386.41590062932
HAWK,11.208333333335759,24.0,0.00729166666624224,27.9999999983702,139.999999991851,,100,1275,1275,142.988943,Tubing Pressure,5370.63739841412
HAWK,11.25,24.0,0.00737499999957072,27.9999999983702,140.999999991793,,100,1270,1270,142.988943,Tubing Pressure,5375.72610436533
HAWK,11.291666666664241,24.0,0.00741666666753008,29.000000003376,142.000000016531,,100,1268,1268,142.988943,Tubing Pressure,5390.60002095964
HAWK,11.333333333335759,24.0,0.00729166666624224,30.9999999981956,140.999999991793,,100,1264,1264,142.988943,Tubing Pressure,5389.87821782217
HAWK,11.375,24.0,0.00737499999957072,29.9999999982538,137.999999991967,,100,1260,1260,142.988943,Tubing Pressure,5348.15486978797
HAWK,11.416666666664241,24.0,0.00737500000085856,32.0000000037253,138.000000016065,,100,1260,1260,142.988943,Tubing Pressure,5361.52140194436
HAWK,11.458333333335759,24.0,0.00733333333290648,31.9999999981374,139.999999991851,,100,1258,1258,142.988943,Tubing Pressure,5380.30548765452
HAWK,11.5,24.0,0.00741666666623496,29.9999999982538,136.999999992026,,100,1255,1255,142.988943,Tubing Pressure,5332.89348314914
HAWK,11.541666666664241,24.0,0.0074583333342016,32.0000000037253,136.000000015832,,100,1253,1253,142.988943,Tubing Pressure,5333.76572864823
